field,stage,total_values,unique_categories,gini,normalized_shannon_entropy,effective_number_categories,enc_normalized
Department,raw,484956,19,0.5743069040229802,0.7798215426980823,9.935725988003494,0.522932946737026
Department,normalized,484956,19,0.5743069040229802,0.7798215426980823,9.935725988003494,0.522932946737026
Department,improvement,484956,0,0.0,0.0,0.0,0.0
Culture,raw,484956,7295,0.9739796612541196,0.29680399297656235,14.013974822027624,0.001921038358057248
Culture,normalized,484956,5648,0.9770596708087205,0.29335791371221626,12.608052198035836,0.002232303859425608
Culture,improvement,484956,1647,0.00308000955460086,-0.0034460792643460914,-1.4059226239917884,0.00031126550136836005
Medium,raw,484956,64811,0.8494023661548202,0.641606711372284,1222.323363882467,0.018859813363201725
Medium,normalized,484956,41862,0.8979606351569882,0.5864854434833818,513.6060570179677,0.012269028164396534
Medium,improvement,484956,22949,0.048558269002167975,-0.05512126788890215,-708.7173068644993,-0.006590785198805191
Classification,raw,484956,1245,0.9494217054958423,0.5277436805448562,42.9987732548473,0.03453716727296972
Classification,normalized,484956,721,0.9374539079107613,0.5138295048626342,29.40975875149163,0.04079023405199949
Classification,improvement,484956,524,-0.01196779758508093,-0.013914175682221974,-13.58901450335567,0.006253066779029773
Country,raw,484956,966,0.9929676401711338,0.1274811413040526,2.401752717935775,0.0024862864574904503
Country,normalized,484956,451,0.9907174425534553,0.13835968352037917,2.3293300334507197,0.005164811604103591
Country,improvement,484956,515,-0.0022501976176785288,0.010878542216326559,-0.07242268448505529,0.0026785251466131406
