culture,count,mean_age,std_age,ci_95,pi_95,ci_lower,ci_upper,pi_lower,pi_upper
American,28446,90.73145609224495,89.8352417815801,1.0439800738779315,176.077073891897,89.68747601836702,91.77543616612289,-85.34561779965203,266.80852998414196
French,18196,164.09848318311717,181.39263981321878,2.6356501858586174,355.5295740339088,161.46283299725854,166.7341333689758,-191.4310908507916,519.6280572170259
"Greek, Attic",17285,2551.9236332079836,112.37248248749417,1.6752566657548427,220.25006567548857,2550.248376542229,2553.5988898737382,2331.673567532495,2772.1736988834723
Japan,16777,250.99195326935686,428.23893558501084,6.480150166136185,839.3483137466212,244.51180310322067,257.47210343549307,-588.3563604772644,1090.340267015978
China,13478,518.9937676213088,741.9836650862106,12.526729217337081,1454.2879835689728,506.46703840397174,531.520496838646,-935.2942159476639,1973.2817511902817
Italian,6499,293.16171718725957,186.88211458429709,4.543604723958274,366.2889445852223,288.6181124633013,297.7053219112178,-73.12722739796271,659.4506617724819
Japanese,5985,286.56324143692564,345.3047170918875,8.748357158261673,676.7972455000995,277.81488427866395,295.3115985951873,-390.23400406317387,963.3604869370251
British,5405,176.20703052728953,171.63440034589433,4.575752853744244,336.4034246779529,171.6312776735453,180.78278338103377,-160.19639415066337,512.6104552052425
Roman,4798,1949.4308045018759,368.8238501259671,10.436261356179717,722.8947462468956,1938.994543145696,1959.8670658580556,1226.5360582549802,2672.3255507487715
German,4559,283.9333187102435,200.17131634205157,5.810628640411551,392.33578003042106,278.12269006983195,289.74394735065505,-108.40246132017757,676.2690987406645
Cypriot,2903,3227.749913882191,1177.829615807109,42.84646765171416,2308.5460469819336,3184.9034462304767,3270.596381533905,919.2038669002573,5536.295960864125
European,2603,239.20668459469843,349.7465266434941,13.436074321736417,685.5031922212485,225.77061027296202,252.64275891643484,-446.29650762655,924.7098768159469
American or European,2049,110.96632503660322,70.68922921606854,3.060823861548174,138.55088926349433,107.90550117505505,114.0271488981514,-27.584564226891104,249.51721430009755
Coptic,1642,1503.022533495737,159.131084682678,7.6970537268904735,311.89692597804884,1495.3254797688464,1510.7195872226275,1191.1256075176882,1814.9194594737858
"French, Paris",1622,190.01294697903822,74.52075436025602,3.6266687402163496,146.0606785461018,186.38627823882186,193.63961571925458,43.95226843293642,336.07362552514
Spanish,1550,361.0535483870968,206.7040913446586,10.290566774074403,405.1400190355308,350.76298161302236,371.3441151611712,-44.086470648434045,766.1935674226277
"British, London",1407,211.75195451314855,75.20260179874708,3.929541582605608,147.3970995255443,207.82241293054295,215.68149609575414,64.35485498760426,359.14905403869284
Greek,1259,2672.3312152501985,1967.2219185983324,108.66672060772648,3855.7549604527317,2563.664494642472,2780.997935857925,-1183.4237452025332,6528.086175702931
Etruscan,1220,2512.6680327868853,193.11501703856993,10.836579034553385,378.50543339559704,2501.831453752332,2523.5046118214386,2134.1625993912885,2891.173466182482
Iran,1071,3267.216619981326,1093.2340737224652,65.47484744238562,2142.7387844960317,3201.7417725389405,3332.6914674237114,1124.4778354852942,5409.955404477358
Dutch,916,224.22816593886463,86.80780424560925,5.621692747595964,170.14329632139413,218.60647319126866,229.8498586864606,54.0848696174705,394.3714622602588
Sasanian,913,1748.0887185104052,137.07586824632315,8.89163625537025,268.6687017627934,1739.197082255035,1756.9803547657755,1479.420016747612,2016.7574202731985
Chinese,902,254.9878048780488,395.0817233289913,25.783373629242572,774.360177724823,229.20443124880623,280.7711785072914,-519.3723728467742,1029.3479826028718
Mexican,840,551.6952380952381,423.63981595248237,28.64924616238429,830.3340392668654,523.0459919328538,580.3444842576224,-278.6388011716273,1382.0292773621036
"German, Meissen",829,216.021712907117,40.681151037297504,2.769312962269537,79.7350560331031,213.25239994484747,218.79102586938654,136.2866568740139,295.7567689402201
"Italian, Venice",726,330.3801652892562,109.5213603752957,7.966849087207511,214.66186633557956,322.4133162020487,338.3470143764637,115.71829895367662,545.0420316248358
Frankish,712,1356.5941011235955,147.47259248678932,10.832467370067715,289.04628127410706,1345.7616337535278,1367.4265684936631,1067.5478198494884,1645.6403823977025
Russian,711,150.9704641350211,94.38304022086581,6.937695484867213,184.99075883289697,144.03276865015388,157.90815961988832,-34.02029469787587,335.96122296791805
Indonesia (Java),697,1214.4361549497849,385.59174819639014,28.626444699831325,755.7598264649247,1185.8097102499535,1243.0625996496162,458.67632848486016,1970.1959814147094
Indian,674,179.33086053412464,120.87259030821286,9.125442906218627,236.9102770040972,170.205417627906,188.45630344034328,-57.57941646997256,416.24113753822184
Moche,666,1623.0045045045044,177.91987292791768,13.512739874134262,348.72295093871867,1609.4917646303702,1636.5172443786387,1274.2815535657858,1971.727455443223
Minoan,662,4037.496978851964,520.2298187218597,39.629839938415145,1019.6504446948451,3997.867138913549,4077.126818790379,3017.8465341571186,5057.147423546809
"British, Staffordshire",624,176.85576923076923,34.25911600235578,2.6880660082612584,67.14786736461733,174.16770322250798,179.54383523903047,109.7079018661519,244.00363659538655
Asmat people,618,78.1715210355987,10.584369593529203,0.8345009401652016,20.74536440331724,77.3370200954335,79.0060219757639,57.42615663228146,98.91688543891594
"French, Sèvres",607,167.30807248764415,34.055802354390934,2.7092734591000154,66.74937261460623,164.59879902854414,170.01734594674417,100.55869987303792,234.05744510225037
Korea,580,737.2465517241379,488.1953156503825,39.73156596552338,956.8628186747496,697.5149857586146,776.9781176896613,-219.6162669506117,1694.1093703988877
probably French,565,126.24778761061947,91.29021322926228,7.527591945999699,178.92881792935407,118.72019566461977,133.77537955661916,-52.6810303187346,305.17660553997354
Austrian,553,184.67088607594937,203.2799797900732,16.94291431773803,398.4287603885435,167.72797175821134,201.6138003936874,-213.7578743125941,583.0996464644928
European or Middle Eastern,540,803.0,0.0,0.0,0.0,803.0,803.0,803.0,803.0
Flemish,527,252.38899430740037,89.67036439798838,7.65596075195199,175.75391422005723,244.73303355544837,260.04495505935233,76.63508008734314,428.1429085274576
probably American,523,91.46462715105163,52.925924081220714,4.536006585621687,103.73481119919259,86.92862056542994,96.00063373667332,-12.270184048140962,195.19943835024424
Byzantine,492,1226.4918699186992,370.5047665161142,32.739143951778445,726.1893423715838,1193.7527259669207,1259.2310138704777,500.30252754711535,1952.681212290283
"Chinese, for American market",480,122.62916666666666,23.63474635388006,2.114396340759071,46.32410285360492,120.51477032590759,124.74356300742573,76.30506381306174,168.9532695202716
Assyrian,478,2787.384937238494,159.58600246744246,14.30661595296714,312.7885648361872,2773.0783212855267,2801.691553191461,2474.5963724023068,3100.173502074681
India,454,1282.455947136564,1312.7983900223783,120.76085532062136,2573.0848444438616,1161.6950918159425,1403.2168024571854,-1290.6288973072976,3855.5407915804253
possibly French,410,182.06585365853658,112.00815572330433,10.842109506456293,219.53598521767648,171.2237441520803,192.90796316499288,-37.4701315591399,401.60183887621304
Paracas,400,2456.97,160.00908213571645,15.680890049300212,313.6178009860042,2441.2891099506996,2472.6508900493,2143.3521990139957,2770.587800986004
Thailand,381,1946.6272965879266,1434.777977576024,144.0715689121003,2812.164836049007,1802.5557276758263,2090.698865500027,-865.5375394610805,4758.792132636934
Swiss,380,216.2,231.26441936075926,23.252684211424818,453.27826194708814,192.94731578857517,239.4526842114248,-237.07826194708815,669.4782619470882
South Netherlandish,361,493.85872576177286,94.16350724808778,9.713709168750109,184.56047420625205,484.1450165930228,503.57243493052295,309.2982515555208,678.4191999680249
"Italian, Venice (Murano)",354,187.31638418079095,135.38626479067574,14.1035696256772,265.35707898972447,173.21281455511374,201.41995380646816,-78.04069480893352,452.67346317051545
"Italian, Naples",353,229.30594900849857,58.02612454129158,6.053301205550659,113.73120410093149,223.2526478029479,235.35925021404924,115.57474490756708,343.03715310943005
Belgian,346,93.41040462427746,54.89113659724359,5.78389293928145,107.58662773059743,87.62651168499602,99.1942975635589,-14.176223106319966,200.99703235487488
Babylonian,339,3055.05604719764,678.575055772664,72.23607052190161,1330.0071093144213,2982.8199766757384,3127.2921177195417,1725.0489378832187,4385.063156512061
"Italian, Florence",333,345.996996996997,134.47762608949364,14.443883888969618,263.57614713540755,331.5531131080274,360.4408808859666,82.42084986158943,609.5731441324045
Irish,328,346.9634146341463,690.5959655603582,74.73829505040327,1353.5680924983021,272.22511958374304,421.7017096845496,-1006.6046778641557,1700.5315071324485
Peruvian,322,939.0931677018633,453.2639029832033,49.5084431451639,888.3972498470785,889.5847245566994,988.6016108470272,50.69591785478485,1827.4904175489419
"German, Augsburg",320,301.228125,82.18379789211369,9.004659378057635,161.08024386854282,292.22346562194235,310.2327843780576,140.14788113145715,462.3083688685428
"British, Worcester",317,179.6750788643533,31.015284774282406,3.4143042082545363,60.78995815759352,176.26077465609876,183.08938307260786,118.88512070675979,240.46503702194684
